platform,content_type,industry,posting_hour,caption_length,cta,influencer,reach,engagement
Instagram,Image,Gaming,11,117,1,0,33124,4.6
YouTube,Live,RealEstate,18,163,1,0,27695,6.69
YouTube,Video,Healthcare,12,184,1,0,39132,7.06
Instagram,Image,EdTech,6,75,0,1,43123,5.45
YouTube,Shorts,FinTech,23,241,0,0,42095,5.35
Instagram,Image,Gaming,11,129,1,1,35011,4.48
Facebook,Post,Tech,11,105,1,0,22461,3.54
Facebook,Image,Beauty,6,111,1,1,34537,4.71
LinkedIn,Article,RealEstate,22,122,0,0,28102,3.83
Instagram,Image,Food,18,193,1,0,31547,4.96
Facebook,Image,Sports,21,194,0,0,38258,5.02
YouTube,Live,RealEstate,22,121,1,1,34454,6.55
Twitter,Tweet,Healthcare,17,80,0,0,17007,2.1
LinkedIn,Article,Entertainment,11,131,1,1,23197,5.54
Instagram,Reel,EdTech,22,56,1,1,40741,5.39
LinkedIn,Article,Fitness,6,64,1,1,24300,5.02
LinkedIn,Article,Sports,18,224,0,0,47635,6.05
Twitter,Tweet,Tech,17,161,0,0,12990,2.8
Instagram,Post,Travel,23,195,0,0,24936,3.05
Instagram,Image,FinTech,20,57,0,0,33259,4.68
Twitter,Tweet,RealEstate,20,97,0,0,23422,3.98
LinkedIn,Post,Sports,10,108,1,1,36793,4.56
Twitter,Thread,Tech,14,146,1,1,31522,5.66
Facebook,Post,Fashion,15,179,1,0,23782,3.28
YouTube,Live,Beauty,23,236,0,1,40454,7.18
Twitter,Thread,Gaming,17,185,1,1,31765,4.9
Twitter,Thread,Travel,8,248,0,1,23027,4.59
YouTube,Video,Food,18,187,0,1,31392,7.45
LinkedIn,Post,EdTech,22,175,0,1,19226,4.51
YouTube,Shorts,Tech,22,150,0,1,39191,6.4
LinkedIn,Article,Beauty,21,220,1,1,33764,6.41
Twitter,Tweet,Healthcare,20,218,0,0,17312,3.63
YouTube,Live,Tech,11,177,1,1,49430,6.6
Twitter,Thread,Tech,15,236,0,0,24203,3.58
Instagram,Image,Tech,23,125,1,0,23454,3.82
Instagram,Post,FinTech,14,247,1,1,25125,5.26
Twitter,Thread,Sports,9,138,0,0,14291,3.04
LinkedIn,Post,RealEstate,13,232,0,1,30482,4.88
YouTube,Live,Entertainment,19,219,1,1,53381,7.95
LinkedIn,Article,Gaming,7,250,0,1,23461,4.55
LinkedIn,Post,Healthcare,19,168,0,0,37776,4.21
LinkedIn,Article,Entertainment,11,97,1,1,23411,4.33
Facebook,Post,Gaming,17,135,0,1,28433,3.61
YouTube,Shorts,Sports,12,131,0,1,42722,7.23
Facebook,Image,EdTech,11,168,0,0,19627,2.91
Instagram,Reel,Fitness,10,71,1,0,26799,5.72
YouTube,Shorts,Tech,16,135,1,1,49864,7.39
Facebook,Post,RealEstate,12,88,0,0,35034,4.09
Instagram,Carousel,EdTech,8,190,0,1,31799,5.23
LinkedIn,Post,Travel,22,214,0,1,26168,3.97
YouTube,Shorts,FinTech,10,197,1,1,42188,7.26
LinkedIn,Article,EdTech,21,77,0,1,26045,5.57
Facebook,Post,Food,18,206,1,1,43963,6.88
YouTube,Live,Fitness,7,147,1,0,41751,6.79
Twitter,Tweet,Fitness,19,87,1,1,34532,5.5
LinkedIn,Article,EdTech,14,118,1,1,44286,5.85
Instagram,Carousel,Entertainment,22,225,1,0,29751,4.54
YouTube,Video,Tech,15,199,0,0,36665,5.44
Instagram,Reel,EdTech,10,59,0,0,28334,4.54
Instagram,Carousel,RealEstate,22,140,0,0,24764,3.85
LinkedIn,Post,Travel,15,77,1,1,21535,4.53
Twitter,Tweet,Fitness,23,165,1,1,23394,4.37
YouTube,Video,Sports,7,102,0,0,44863,5.17
Twitter,Tweet,Tech,13,123,1,1,21080,4.21
Twitter,Thread,Food,23,129,1,1,32198,4.89
Instagram,Reel,Sports,12,85,0,0,38569,5.76
LinkedIn,Article,FinTech,20,233,1,1,28086,6.21
LinkedIn,Article,Beauty,11,69,1,1,40501,5.67
YouTube,Live,Gaming,23,88,0,1,27666,6.22
Facebook,Video,RealEstate,8,88,1,1,41945,5.08
YouTube,Live,Beauty,12,238,0,0,25634,6.07
YouTube,Video,Food,9,82,1,1,29926,6.97
Twitter,Thread,Fitness,20,177,0,1,32299,5.81
LinkedIn,Article,Entertainment,21,133,1,0,21963,4.99
Instagram,Image,Sports,19,184,1,0,28523,5.75
Instagram,Carousel,Food,11,149,1,1,40570,5.79
Twitter,Tweet,Healthcare,14,159,1,1,29652,4.88
Instagram,Reel,Sports,6,99,1,1,43253,6.8
Twitter,Tweet,Gaming,12,224,0,1,20925,3.98
Facebook,Post,RealEstate,8,205,0,1,24195,4.63
Instagram,Reel,EdTech,13,190,1,0,53009,6.32
YouTube,Live,Fitness,21,113,1,1,67385,8.55
LinkedIn,Article,Fitness,18,216,1,0,40656,5.29
Instagram,Post,RealEstate,14,106,0,1,22579,3.92
Facebook,Video,Travel,6,94,0,0,28411,3.74
YouTube,Shorts,Fitness,7,51,0,0,23640,5.25
Instagram,Image,FinTech,10,241,0,0,24035,3.11
Facebook,Video,Entertainment,17,148,0,0,23459,4.05
Twitter,Tweet,Tech,9,53,0,1,25272,3.63
Facebook,Post,Sports,20,140,0,0,34279,4.07
Facebook,Video,Fitness,18,157,1,0,38059,5.28
YouTube,Live,RealEstate,22,143,1,1,44851,6.71
Facebook,Post,FinTech,9,158,0,0,29198,3.65
Instagram,Carousel,Entertainment,15,137,0,1,31632,4.24
Facebook,Video,Tech,7,226,1,0,32959,4.29
Instagram,Post,Healthcare,14,249,1,1,41633,5.42
Twitter,Thread,Gaming,20,151,1,1,37845,6.14
LinkedIn,Post,Entertainment,22,128,0,0,19446,3.18
Instagram,Reel,FinTech,20,117,0,1,34646,5.78
Twitter,Tweet,Fitness,21,111,0,0,35026,4.41
Facebook,Post,Entertainment,23,226,0,0,25235,3.77
Facebook,Video,Entertainment,10,103,0,1,23281,4.58
Instagram,Image,Food,9,170,1,1,27578,4.61
YouTube,Shorts,Gaming,8,60,0,0,22248,5.32
YouTube,Video,Fashion,22,147,0,1,39268,6.2
Facebook,Video,FinTech,12,127,0,1,22424,5.69
Twitter,Thread,FinTech,8,131,1,1,30497,4.02
Instagram,Reel,Beauty,21,144,1,1,40144,7.05
Instagram,Carousel,Fashion,22,245,0,0,32757,4.12
Twitter,Tweet,RealEstate,23,121,1,1,25424,3.93
LinkedIn,Post,Fashion,12,211,0,0,26808,4.1
LinkedIn,Post,Beauty,15,95,0,0,27950,3.14
LinkedIn,Article,Tech,7,66,1,1,22488,4.38
Twitter,Tweet,Fashion,7,158,1,0,19851,3.55
LinkedIn,Article,Sports,21,71,0,1,35756,5.75
Instagram,Reel,Beauty,10,149,0,1,33195,5.62
Twitter,Tweet,Gaming,6,126,0,1,31266,3.9
Twitter,Tweet,Healthcare,17,148,1,0,21397,3.49
YouTube,Video,Beauty,10,72,0,1,36148,6.78
Twitter,Thread,FinTech,17,193,0,0,27381,3.77
LinkedIn,Post,FinTech,18,100,0,1,32874,5.36
YouTube,Live,Healthcare,19,198,0,1,33360,7.15
Twitter,Thread,RealEstate,18,189,1,0,24958,4.81
LinkedIn,Article,Food,11,94,0,1,46271,5.78
YouTube,Live,RealEstate,10,136,1,0,23360,6.29
Facebook,Post,Beauty,7,219,1,1,34465,5.65
Facebook,Post,Entertainment,15,207,0,0,26326,3.76
LinkedIn,Post,Food,23,189,0,0,28626,3.1
Facebook,Post,Entertainment,11,165,1,0,19356,3.82
Twitter,Tweet,EdTech,22,70,0,1,28529,3.79
Instagram,Post,Tech,9,80,0,0,15018,2.8
Facebook,Image,Tech,13,161,0,1,26169,4.81
Twitter,Thread,Fashion,21,210,0,1,40912,5.98
Instagram,Reel,Sports,7,57,0,0,22885,4.56
Instagram,Carousel,Entertainment,9,120,0,1,34520,4.66
Instagram,Reel,Entertainment,13,247,0,0,33981,5.74
YouTube,Live,Fashion,10,169,1,0,28437,5.64
Facebook,Video,Tech,19,123,1,1,28815,6.52
LinkedIn,Article,Beauty,9,145,0,0,27737,3.19
LinkedIn,Article,Food,21,61,0,1,34730,5.47
Instagram,Carousel,Entertainment,6,180,0,0,27725,2.98
Facebook,Video,Gaming,17,158,0,1,32283,4.64
YouTube,Shorts,Beauty,8,84,1,1,44064,7.57
YouTube,Live,Fashion,18,236,0,1,54795,7.33
Instagram,Post,Entertainment,18,140,1,1,49877,6.25
Twitter,Thread,Healthcare,20,163,1,1,35598,5.8
Twitter,Tweet,Entertainment,22,54,0,1,21647,4.27
Twitter,Tweet,FinTech,13,249,1,0,33259,4.42
YouTube,Video,Food,20,247,1,0,59743,7.55
Facebook,Post,Tech,23,178,1,1,26746,4.82
Twitter,Tweet,RealEstate,23,144,1,1,21773,4.21
LinkedIn,Post,Fashion,20,103,0,0,19730,3.72
Instagram,Image,Beauty,20,224,0,0,28979,5.48
Facebook,Video,RealEstate,17,135,1,1,37969,5.2
Facebook,Image,Beauty,22,187,0,1,36912,4.47
Instagram,Post,Healthcare,8,227,0,1,21866,4.92
Instagram,Image,Entertainment,15,107,1,1,30212,4.78
YouTube,Shorts,Food,20,50,1,1,47098,8.62
Instagram,Post,Sports,11,125,1,1,26236,5.31
Facebook,Post,Travel,7,207,1,0,24833,4.39
Twitter,Thread,EdTech,14,52,1,0,30724,4.21
Twitter,Tweet,Fashion,13,86,0,1,35591,3.89
Twitter,Thread,Tech,7,66,0,1,21099,4.1
Instagram,Reel,Food,16,233,0,0,33795,4.88
Instagram,Reel,EdTech,11,70,0,0,33192,4.82
Twitter,Tweet,Travel,7,98,1,1,22459,4.14
Instagram,Post,FinTech,15,73,1,1,32263,4.24
LinkedIn,Article,Travel,17,126,1,0,31540,4.29
Facebook,Image,Travel,17,200,0,1,40377,4.99
LinkedIn,Post,Travel,19,153,0,0,30188,4.39
Twitter,Tweet,FinTech,22,155,1,1,22964,4.54
Instagram,Post,Food,14,103,1,0,41860,4.83
LinkedIn,Post,Fashion,8,155,1,0,22065,3.66
Twitter,Tweet,Sports,18,216,1,1,47521,5.87
Twitter,Thread,Beauty,9,103,1,0,26416,3.96
LinkedIn,Post,Food,14,190,1,1,38383,4.97
Instagram,Image,FinTech,17,56,0,1,21776,4.18
Instagram,Image,Fitness,18,103,0,1,40404,5.6
Twitter,Thread,Fashion,12,87,1,0,17782,4.53
LinkedIn,Post,EdTech,19,246,1,0,39018,4.57
LinkedIn,Article,Entertainment,6,237,0,0,24214,3.73
LinkedIn,Post,Healthcare,9,148,0,0,25455,3.18
Facebook,Video,FinTech,18,82,1,0,28925,6.03
Twitter,Thread,Tech,9,78,0,1,34821,4.81
Instagram,Carousel,Beauty,12,50,0,1,23984,5.13
YouTube,Video,Beauty,12,217,0,1,33499,6.58
Twitter,Thread,Healthcare,8,176,1,1,24900,4.66
YouTube,Shorts,Fitness,21,208,0,0,37308,6.72
YouTube,Video,FinTech,13,230,1,0,32584,5.87
Facebook,Post,FinTech,8,145,0,1,27067,4.76
YouTube,Shorts,Entertainment,10,233,1,1,51154,7.06
Instagram,Image,Entertainment,6,197,1,0,26476,4.15
Twitter,Thread,Fashion,19,190,0,0,24142,5.05
Facebook,Post,Food,18,190,0,0,23845,4.15
Twitter,Tweet,Healthcare,21,51,0,1,42231,5.23
LinkedIn,Article,FinTech,10,233,0,0,28030,3.56
Facebook,Post,EdTech,19,101,1,0,29453,4.83
Instagram,Carousel,Travel,14,76,1,1,26092,5.29
Twitter,Thread,Tech,17,206,0,1,26977,4.97
LinkedIn,Post,Tech,19,129,0,1,24348,5.05
Instagram,Image,Tech,15,220,0,1,33507,4.78
Facebook,Post,FinTech,11,198,0,0,15488,2.45
LinkedIn,Post,Food,17,80,1,1,36659,4.97
YouTube,Live,Entertainment,20,173,1,1,47414,8.62
YouTube,Video,Entertainment,16,221,1,0,47172,6.04
Twitter,Tweet,Travel,6,76,1,0,15303,3.21
LinkedIn,Post,RealEstate,20,163,0,1,34864,5.36
YouTube,Shorts,EdTech,15,182,1,0,36891,6.92
LinkedIn,Post,Beauty,13,51,1,1,27140,4.39
Instagram,Reel,Beauty,11,55,1,0,37581,5.61
YouTube,Video,EdTech,7,198,0,1,30994,6.14
Instagram,Reel,RealEstate,14,246,0,0,36019,5.39
LinkedIn,Article,Healthcare,8,104,0,0,26898,3.5
YouTube,Video,Healthcare,6,92,1,0,21158,5.83
Facebook,Image,Tech,23,84,1,1,34580,4.7
YouTube,Live,Beauty,13,135,1,0,29231,6.15
Instagram,Carousel,EdTech,11,126,0,0,33744,3.91
Twitter,Thread,RealEstate,7,53,0,1,29434,3.58
Instagram,Post,Fashion,17,62,1,1,24233,5.22
Twitter,Tweet,Beauty,22,193,1,0,30440,3.17
Instagram,Image,Fashion,17,71,0,0,24286,3.03
Twitter,Thread,Fitness,6,196,1,1,31485,4.88
Instagram,Reel,Sports,20,78,1,0,29613,5.88
LinkedIn,Article,FinTech,21,82,1,0,36269,5.32
Facebook,Post,Healthcare,19,179,1,0,26987,4.33
Facebook,Video,EdTech,20,188,1,1,28477,6.88
LinkedIn,Post,Sports,16,222,1,1,23221,4.13
YouTube,Shorts,Tech,21,63,0,1,33190,7.52
Instagram,Reel,FinTech,17,98,0,1,42339,5.92
LinkedIn,Post,Fashion,21,95,0,1,20662,4.89
Instagram,Image,Travel,23,234,1,1,29690,4.98
Instagram,Image,RealEstate,13,188,1,0,22002,3.99
Instagram,Image,Food,10,79,0,1,31256,4.75
YouTube,Live,Fashion,10,235,1,1,52088,7.71
LinkedIn,Post,Tech,12,109,1,1,34935,6.22
YouTube,Video,Food,13,72,0,1,52934,7.14
Instagram,Reel,Entertainment,8,195,0,0,36555,5.12
Instagram,Post,FinTech,23,92,0,1,29596,3.79
Facebook,Image,Gaming,17,247,1,1,26094,5.3
YouTube,Live,RealEstate,22,80,1,1,53307,7.31
Instagram,Post,Healthcare,9,138,1,0,25426,3.81
YouTube,Video,RealEstate,12,119,1,1,49823,8.09
Facebook,Image,Food,14,62,0,0,14653,3.7
Twitter,Thread,Gaming,23,73,0,0,25861,3.12
Instagram,Post,Tech,11,149,1,1,25177,5.19
Facebook,Video,Fitness,20,138,0,1,40338,5.77
YouTube,Live,Fitness,19,121,0,0,29155,7.11
Twitter,Tweet,Fitness,9,163,1,1,16339,3.88
LinkedIn,Post,Fitness,23,147,1,0,25461,3.08
LinkedIn,Article,Travel,17,232,0,0,18149,3.24
LinkedIn,Article,Gaming,16,115,0,1,39919,4.9
YouTube,Video,Sports,10,246,1,0,24257,5.75
YouTube,Shorts,Entertainment,13,95,0,0,37105,5.56
Instagram,Carousel,Fitness,21,210,0,1,39367,5.46
Facebook,Image,Entertainment,11,133,1,0,20648,3.69
YouTube,Live,Fashion,11,238,1,1,34588,6.53
LinkedIn,Post,Beauty,6,165,1,1,19372,4.04
Twitter,Thread,Gaming,6,65,1,0,35035,4.64
YouTube,Shorts,Gaming,16,177,0,0,27733,5.16
LinkedIn,Article,Beauty,15,162,1,0,27786,3.97
Instagram,Image,Healthcare,6,67,1,0,30284,3.85
Instagram,Image,Food,15,129,1,0,30761,3.83
LinkedIn,Post,Fashion,19,139,0,1,43936,5.45
Facebook,Video,Sports,7,167,1,1,41827,5.88
Twitter,Thread,Entertainment,10,115,1,0,21156,3.68
Facebook,Image,Sports,16,173,1,0,20788,3.21
YouTube,Video,Fashion,10,121,1,0,47619,6.51
Twitter,Tweet,Gaming,13,133,0,1,33393,4.36
Instagram,Reel,Healthcare,10,87,1,0,46072,5.99
Twitter,Thread,EdTech,12,205,0,1,21388,4.0
Instagram,Reel,Tech,20,94,1,1,40298,7.58
Instagram,Carousel,EdTech,19,75,0,1,46286,6.47
LinkedIn,Post,Tech,6,71,0,0,19240,2.86
Facebook,Video,RealEstate,7,63,0,1,40670,4.91
Facebook,Image,Food,18,170,1,0,37825,5.02
Instagram,Image,FinTech,13,78,0,1,28122,4.88
YouTube,Video,Travel,19,95,1,1,39254,8.08
Instagram,Image,Beauty,13,110,1,1,33193,5.46
Instagram,Image,EdTech,19,114,1,1,39681,5.95
Twitter,Thread,FinTech,12,233,0,0,19871,4.39
Instagram,Post,Sports,23,232,0,1,17879,4.68
YouTube,Video,Fashion,16,136,1,1,59127,7.1
Instagram,Carousel,Sports,17,75,0,0,27456,3.82
Facebook,Video,FinTech,15,53,0,1,35028,4.89
Instagram,Image,Food,16,211,1,1,37847,4.69
Twitter,Thread,EdTech,17,101,1,1,33088,4.56
Instagram,Post,Fashion,10,61,0,1,37477,4.5
Twitter,Thread,Fashion,20,137,1,1,46091,5.58
YouTube,Live,EdTech,12,51,0,0,27562,5.9
Facebook,Image,FinTech,20,73,1,1,29186,5.69
Facebook,Video,Entertainment,12,238,1,0,45524,5.95
YouTube,Live,Tech,11,66,0,0,22956,4.39
YouTube,Video,Tech,6,207,0,0,35317,5.43
Twitter,Thread,RealEstate,14,82,0,0,36781,4.59
Instagram,Post,Sports,13,69,0,0,21148,4.15
Instagram,Reel,RealEstate,14,150,0,0,41973,5.7
Facebook,Video,Fitness,15,199,1,1,43427,5.54
YouTube,Shorts,Entertainment,17,72,0,0,37327,5.23
YouTube,Shorts,FinTech,21,225,0,0,37637,5.8
YouTube,Video,Healthcare,11,238,0,0,33983,5.58
Facebook,Image,Food,14,185,0,1,34037,4.49
YouTube,Live,Entertainment,19,141,1,1,55540,7.88
LinkedIn,Article,FinTech,17,202,0,0,20236,3.4
Facebook,Image,EdTech,15,137,0,1,28942,4.9
YouTube,Live,RealEstate,8,69,1,0,48778,6.96
LinkedIn,Article,Beauty,9,192,0,0,18286,3.69
LinkedIn,Article,RealEstate,15,121,1,1,30990,4.91
YouTube,Shorts,Sports,18,249,1,1,59607,7.73
Instagram,Image,EdTech,9,211,1,1,26638,5.19
YouTube,Video,Food,10,147,0,1,28323,7.21
Facebook,Video,Fashion,14,109,0,1,35016,5.5
LinkedIn,Article,Fashion,10,104,1,1,22941,4.15
Facebook,Post,Entertainment,9,103,1,0,28631,3.97
Twitter,Thread,Tech,12,65,1,0,29084,4.79
YouTube,Live,Entertainment,12,115,1,1,28919,6.97
Twitter,Thread,FinTech,9,203,0,0,21980,3.37
YouTube,Live,Healthcare,8,180,0,1,27018,6.68
Facebook,Video,Beauty,15,186,1,1,22625,5.47
Instagram,Post,Beauty,9,138,0,0,19385,3.18
Facebook,Post,Beauty,16,151,1,0,20375,4.11
Twitter,Tweet,RealEstate,20,233,0,1,28780,4.84
YouTube,Video,Food,14,142,1,1,32231,7.01
LinkedIn,Article,Travel,12,216,0,0,19362,3.38
Twitter,Tweet,FinTech,23,116,1,1,25710,4.8
Instagram,Reel,EdTech,10,85,0,1,35842,6.05
Facebook,Image,EdTech,7,141,0,0,24766,3.24
YouTube,Live,Entertainment,13,56,0,0,30264,5.92
Instagram,Carousel,Entertainment,15,67,1,1,31774,4.79
YouTube,Shorts,Fitness,18,185,0,0,37347,6.27
Twitter,Thread,Tech,15,65,0,0,25491,3.13
Twitter,Thread,FinTech,16,226,1,1,20836,3.95
YouTube,Shorts,Healthcare,6,237,0,0,22342,5.21
LinkedIn,Article,FinTech,7,80,0,1,22575,4.48
Facebook,Post,Entertainment,14,149,1,0,25768,4.54
Twitter,Thread,RealEstate,16,161,1,1,19508,4.78
Instagram,Image,Beauty,11,96,0,0,30107,3.82
LinkedIn,Article,Sports,21,96,0,1,34374,6.34
Facebook,Image,Fashion,18,238,1,1,30175,6.32
Facebook,Post,Healthcare,15,144,0,1,37837,4.39
Facebook,Video,Gaming,7,168,0,0,28299,4.0
LinkedIn,Post,Healthcare,10,236,1,1,28576,4.11
YouTube,Video,Fashion,6,152,1,0,38399,6.3
LinkedIn,Article,Entertainment,12,58,1,0,35361,5.37
Twitter,Tweet,Food,9,160,0,1,18879,3.94
Facebook,Post,Food,10,57,0,1,20483,4.97
YouTube,Shorts,Sports,6,163,0,1,38110,5.89
YouTube,Live,Fashion,7,117,1,0,43761,5.54
YouTube,Video,Entertainment,17,117,0,1,45296,6.84
Twitter,Thread,RealEstate,7,128,0,1,26103,4.41
LinkedIn,Post,RealEstate,22,243,1,1,39596,5.03
LinkedIn,Post,Travel,18,206,0,0,26657,4.19
Facebook,Post,RealEstate,7,210,0,1,27581,3.85
LinkedIn,Post,Food,21,153,0,0,21914,4.11
YouTube,Live,Healthcare,15,170,0,1,25712,5.89
YouTube,Video,Sports,22,127,0,1,46055,6.05
Twitter,Thread,Food,9,160,1,0,32573,4.19
LinkedIn,Article,Entertainment,18,245,1,1,48913,6.65
Facebook,Video,Tech,9,146,1,0,25067,4.65
Instagram,Reel,Gaming,22,144,1,0,23273,4.61
Twitter,Tweet,Gaming,22,176,1,1,26152,4.16
LinkedIn,Article,RealEstate,13,119,0,0,19779,3.71
Instagram,Reel,Fashion,6,92,0,0,37947,5.27
YouTube,Live,Sports,8,119,0,0,21373,5.27
Facebook,Image,Sports,8,215,1,1,26097,4.27
YouTube,Video,Travel,21,195,1,0,48636,7.21
LinkedIn,Post,FinTech,22,64,0,0,15266,2.74
LinkedIn,Post,Food,21,241,0,0,36150,4.79
Instagram,Carousel,Tech,22,214,1,1,28318,4.71
Facebook,Post,Entertainment,15,91,1,1,23986,4.14
LinkedIn,Article,Fitness,11,148,0,1,33333,3.74
LinkedIn,Article,Gaming,19,205,0,0,33207,4.79
Facebook,Video,Tech,10,83,0,0,29773,3.78
Twitter,Tweet,Beauty,19,227,0,0,27395,3.43
LinkedIn,Article,FinTech,20,142,0,0,36510,5.28
Instagram,Carousel,Beauty,16,149,0,0,25392,3.77
LinkedIn,Post,EdTech,20,182,0,1,34363,5.19
Twitter,Thread,Healthcare,15,77,1,1,32636,5.35
LinkedIn,Article,Tech,16,70,1,0,36157,4.37
YouTube,Video,Gaming,6,244,1,0,45235,5.67
Facebook,Image,RealEstate,22,87,0,0,17081,2.78
Facebook,Video,Tech,23,52,1,1,44429,5.83
YouTube,Video,RealEstate,14,158,1,1,32752,7.76
YouTube,Video,EdTech,11,93,0,0,35919,5.57
Instagram,Post,Healthcare,6,102,1,0,27003,3.66
Facebook,Image,EdTech,21,86,0,1,27036,5.64
LinkedIn,Post,Sports,18,64,0,0,24963,3.9
YouTube,Live,RealEstate,14,188,0,0,32123,6.06
Facebook,Image,EdTech,22,236,1,1,38386,5.28
Instagram,Post,Fashion,7,180,0,1,20338,4.24
Instagram,Carousel,RealEstate,13,164,1,0,22602,3.97
LinkedIn,Article,RealEstate,17,127,1,1,20817,4.68
Twitter,Tweet,Entertainment,7,117,1,1,34048,4.7
Facebook,Image,RealEstate,16,207,1,0,16682,3.8
Twitter,Thread,Beauty,17,215,0,0,26763,3.25
LinkedIn,Post,EdTech,7,242,0,1,24688,3.8
YouTube,Video,Fitness,20,174,0,1,56238,7.89
Twitter,Thread,Sports,17,179,1,1,36893,4.46
Instagram,Image,Tech,13,107,0,1,27518,5.22
Facebook,Post,Sports,7,97,0,1,32770,3.91
Instagram,Image,Gaming,15,223,1,1,32259,4.64
YouTube,Video,Tech,22,80,0,0,33628,5.25
Twitter,Tweet,Food,23,59,1,0,16657,3.15
Facebook,Post,Travel,19,79,1,0,39246,4.88
Facebook,Image,Fashion,21,236,0,0,22190,4.49
LinkedIn,Article,Travel,18,166,1,1,28960,4.82
LinkedIn,Post,Fitness,19,166,1,1,30541,5.38
YouTube,Live,Sports,22,194,0,1,47682,6.34
Twitter,Thread,RealEstate,21,182,0,0,25313,5.1
Facebook,Post,Sports,10,106,0,0,19420,2.77
Facebook,Post,Fashion,23,172,0,1,30734,4.27
Instagram,Carousel,Healthcare,12,64,0,0,26917,4.7
LinkedIn,Article,FinTech,9,113,1,0,16542,3.57
YouTube,Shorts,Sports,6,248,1,0,45982,6.16
YouTube,Shorts,Entertainment,17,194,1,0,28935,5.68
Facebook,Video,Healthcare,10,173,0,0,32792,3.8
Facebook,Video,RealEstate,23,151,0,0,23838,3.68
Twitter,Tweet,Fitness,14,159,1,1,35634,4.61
Instagram,Carousel,Beauty,8,149,0,1,35470,5.59
Twitter,Tweet,Tech,18,228,1,1,33798,5.84
LinkedIn,Post,Fashion,23,139,0,0,17619,3.44
LinkedIn,Post,Tech,11,132,1,1,21619,4.7
Instagram,Reel,Beauty,21,84,1,1,35503,6.86
Facebook,Image,EdTech,11,214,1,0,27905,3.86
LinkedIn,Post,Fashion,17,93,1,0,19237,3.93
Instagram,Image,FinTech,15,67,1,1,37180,4.66
YouTube,Video,Gaming,20,162,1,1,37218,8.59
Twitter,Thread,Fashion,22,229,1,1,21675,5.08
Facebook,Video,Food,18,237,1,1,40269,7.44
Instagram,Post,Sports,23,109,1,1,38071,4.83
YouTube,Live,Tech,9,159,1,1,45164,6.56
YouTube,Video,Healthcare,8,245,1,1,46282,6.86
Twitter,Tweet,Travel,13,243,0,0,22701,3.97
Instagram,Reel,Fitness,21,229,1,0,44254,5.77
YouTube,Video,Entertainment,19,102,1,1,32046,7.37
YouTube,Shorts,RealEstate,7,103,0,0,27290,5.54
YouTube,Video,Healthcare,12,109,0,0,34383,5.92
LinkedIn,Article,Food,17,235,1,1,41303,5.1
Facebook,Post,Beauty,21,231,0,1,33556,5.78
Twitter,Thread,Fashion,20,129,0,1,42061,5.28
YouTube,Shorts,Tech,14,82,0,1,26977,6.35
Twitter,Thread,Healthcare,23,92,0,1,26938,5.12
YouTube,Video,Travel,12,57,1,1,41462,7.2
YouTube,Video,EdTech,22,69,0,0,39169,5.08
Twitter,Tweet,Travel,23,78,1,1,27114,4.74
Instagram,Carousel,Gaming,11,93,1,0,25768,3.85
Facebook,Post,Gaming,10,247,1,1,25395,4.67
Facebook,Video,EdTech,22,115,0,0,31822,4.19
LinkedIn,Post,Fitness,7,117,0,0,18549,3.43
Instagram,Carousel,Beauty,9,89,1,1,40904,4.87
Twitter,Thread,Gaming,20,181,0,0,23159,5.11
Twitter,Tweet,Healthcare,14,62,0,1,19398,3.55
Facebook,Post,Gaming,23,116,0,1,35425,4.5
Instagram,Post,Tech,9,192,1,1,23388,4.66
Facebook,Image,Beauty,14,209,1,1,32994,5.85
YouTube,Shorts,Fashion,14,60,1,1,45283,7.66
LinkedIn,Post,Entertainment,14,63,0,0,28168,3.33
LinkedIn,Post,Beauty,20,231,1,0,23524,4.97
Twitter,Thread,Fitness,10,94,1,0,36598,4.16
Instagram,Carousel,Sports,11,171,0,1,24863,4.76
YouTube,Shorts,Travel,6,113,0,1,38246,6.09
YouTube,Video,Travel,14,250,1,1,58173,7.41
Facebook,Image,Healthcare,18,163,1,0,29098,4.9
Twitter,Thread,Fashion,19,101,0,1,30484,5.48
Twitter,Thread,Healthcare,15,53,0,1,24551,4.6
Facebook,Image,Healthcare,9,177,1,1,23280,3.89
Facebook,Post,Fashion,15,212,1,1,22657,4.83
Facebook,Video,Fashion,17,147,1,0,34864,4.38
LinkedIn,Article,Beauty,15,68,1,0,27759,3.76
YouTube,Video,Travel,18,58,0,0,49012,6.4
Facebook,Post,Fashion,8,219,1,1,37593,4.61
Twitter,Tweet,Gaming,13,188,0,1,20486,2.96
Twitter,Tweet,Tech,6,219,1,0,21723,3.02
Instagram,Post,Travel,12,70,1,0,23630,4.25
Instagram,Image,Travel,18,101,0,1,37133,5.91
YouTube,Shorts,Fashion,11,157,1,0,36694,5.68
YouTube,Live,Tech,17,135,1,0,46090,5.91
YouTube,Live,RealEstate,21,187,0,1,55630,8.32
YouTube,Live,Fitness,18,134,0,0,45497,7.1
YouTube,Live,Tech,15,214,1,1,37412,7.36
Facebook,Image,Tech,20,180,1,1,31300,5.7
LinkedIn,Article,RealEstate,20,55,1,0,37640,5.52
LinkedIn,Article,Beauty,22,221,0,1,32992,4.51
LinkedIn,Article,Food,13,92,1,1,27626,5.62
Instagram,Image,Gaming,17,88,1,1,20249,5.16
